UUID,DATUM_AEND,DATUM_ERST,ERSTELL_J,ERSTELL_M,REVISION_J,REVISION_M,GRUND_AEND,HERKUNFT,HERKUNFT_J,HERKUNFT_M,OBJEKTART,BFS_NUMMER,BEZIRKSNUM,KANTONSNUM,NAME,GEM_TEIL,GEM_FLAECH,SEE_FLAECH,ICC,SHN,REVISION_Q,EINWOHNERZ
{B55F9EAE-EB69-4468-A41C-7BB28A6699EE},2011/12/16,2008/11/24,2006,,2013,1,verbessert,swisstopo,2012,1,,1631,,8,Glarus Süd,0,43009.000000000000000,,CH,CH08001631,TLM_GN_Leer,9938
{C9A12E0C-B661-4ED3-B5D2-C604EC55C7A6},2011/12/16,2008/11/24,1900,,2013,1,verbessert,swisstopo,2012,1,,9758,,22,Lac Léman (VD),1,29773.000000000000000,29773.000000000000000,CH,CH22009758,TLM_GN_Leer,
{56C0B03A-B593-4156-B365-FF6FA1168B58},2009/01/19,2008/11/24,2000,,2013,1,real,swisstopo,2009,1,,3851,1830,18,Davos,0,28400.000000000000000,,CH,CH18303851,TLM_GN_Leer,11131
{5B0C1705-1D2B-4E53-9970-6BC3DE33A0F7},2008/11/24,2008/11/24,1997,,2013,1,uebertragen,GG25,1997,,,6031,2303,23,Bagnes,0,28223.000000000000000,,CH,CH23036031,TLM_GN_Leer,7807
{651D5F41-5B3F-4E14-AD47-35160A88F593},2010/03/23,2008/11/24,2000,,2013,1,real,swisstopo,2010,1,,3792,1827,18,Bregaglia,0,25146.000000000000000,,CH,CH18273792,TLM_GN_Leer,1583
{2B3CC864-CEF3-473A-97F5-34B5EC070182},2009/02/18,2008/11/24,1997,,2013,1,real,swisstopo,2009,1,,6252,2311,23,Anniviers,0,24336.000000000000000,,CH,CH23116252,TLM_GN_Leer,2611
{E1773FB1-2D32-4EB3-9C38-EC5934950077},2009/01/19,2008/11/24,1997,,2013,1,verbessert,swisstopo,2009,1,,6300,2313,23,Zermatt,0,24269.000000000000000,,CH,CH23136300,TLM_GN_Leer,5746
{C1B1D0E7-5EB6-46B6-B0A9-1ED23876E6DB},2009/01/19,2008/11/24,1997,,2013,1,verbessert,swisstopo,2009,1,,6083,2305,23,Evolène,0,20995.000000000000000,,CH,CH23056083,TLM_GN_Leer,1712
{AB2BA4A5-EB8C-40C7-A259-271DAC93C767},2009/01/19,2008/11/24,2000,,2013,1,verbessert,swisstopo,2009,1,,3746,1825,18,Zernez,0,20385.000000000000000,,CH,CH18253746,TLM_GN_Leer,1149
{7D945983-50D6-4328-B301-53702361DE69},2009/01/19,2008/11/24,2006,,2013,1,verbessert,swisstopo,2009,1,,5049,2102,21,Blenio,0,20205.000000000000000,,CH,CH21025049,TLM_GN_Leer,1667
{C2BC9696-2460-4F28-848E-250FE2C41571},2010/01/05,2008/11/24,2000,,2013,1,real,swisstopo,2010,1,,782,250,2,Guttannen,0,20078.000000000000000,,CH,CH02500782,TLM_GN_Leer,300
{98F3CA52-FEA0-4894-B56E-5976005748B2},2009/02/18,2008/11/24,2000,,2013,1,real,swisstopo,2009,1,,3847,1825,18,Val Müstair,0,19865.000000000000000,,CH,CH18253847,TLM_GN_Leer,1552
{3AED7252-6BFC-4CE6-BB79-E7F4C4E747DF},2008/11/24,2008/11/24,2000,,2013,1,uebertragen,GG25,2000,,,3871,1830,18,Klosters-Serneus,0,19309.000000000000000,,CH,CH18303871,TLM_GN_Leer,3887
{E2E1E838-4846-4757-B76F-FCF7934B6077},2008/11/24,2008/11/24,2000,,2013,1,uebertragen,GG25,2000,,,3561,1822,18,Poschiavo,0,19101.000000000000000,,CH,CH18223561,TLM_GN_Leer,3602
{4C28B9AB-AFB0-4806-AF9C-38123E12A107},2008/11/24,2008/11/24,2004,,2013,1,uebertragen,GG25,2004,,,5323,2108,21,Lavizzara,0,18750.000000000000000,,CH,CH21085323,TLM_GN_Leer,529
{952F701E-B3DC-4E63-88F8-AF400723F4C3},2008/11/24,2008/11/24,2000,,2013,1,uebertragen,GG25,2000,,,6058,2304,23,Fieschertal,0,17297.000000000000000,,CH,CH23046058,TLM_GN_Leer,318
{BED3C331-EB6E-4043-8BE1-916B01FC6398},2009/01/20,2008/11/24,1997,,2013,1,verbessert,swisstopo,2009,1,,1367,506,5,Muotathal,0,17212.000000000000000,,CH,CH05061367,TLM_GN_Leer,3527
{CBD1C2DF-61F8-4515-BDE3-50CC982AA8A1},2010/01/05,2008/11/24,2000,,2013,1,real,swisstopo,2010,1,,576,250,2,Grindelwald,0,17127.000000000000000,,CH,CH02500576,TLM_GN_Leer,3796
{94F66A3A-4FFB-4C52-A6F4-D4BA3AD7A572},2012/10/01,2008/11/24,2000,,2013,1,real,swisstopo,2012,3,,3618,1831,18,Lumnezia,0,16547.000000000000000,,CH,CH18313618,TLM_GN_Leer,2169
{DC2E95BF-A1FE-46B1-A627-5EEE77EBCAC6},2008/11/24,2008/11/24,1997,,2013,1,uebertragen,GG25,1997,,,6034,2303,23,Orsières,0,16496.000000000000000,,CH,CH23036034,TLM_GN_Leer,3072
{17FC9E41-AF24-437E-982A-577D92887E08},2009/01/19,2008/11/24,2000,,2013,1,verbessert,swisstopo,2009,1,,3822,1828,18,Mesocco,0,16475.000000000000000,,CH,CH18283822,TLM_GN_Leer,1240
{A8FC06BD-9CAA-4708-A6D2-51801035CEFF},2010/01/05,2008/11/24,2000,,2013,1,real,swisstopo,2010,1,,584,250,2,Lauterbrunnen,0,16435.000000000000000,,CH,CH02500584,TLM_GN_Leer,2509
{892110BF-C2BD-424D-80B6-63336794D7E4},2011/12/19,2008/11/24,2000,,2013,1,real,swisstopo,2012,1,,6076,2304,23,Obergoms,0,15587.000000000000000,,CH,CH23046076,TLM_GN_Leer,693
{0F19FDE6-7378-482E-B3F3-40913521851C},2012/10/01,2008/11/24,2000,,2013,1,real,swisstopo,2012,3,,3921,1829,18,Arosa,0,15479.000000000000000,,CH,CH18293921,TLM_GN_Leer,3353
{8768BE53-2EA8-4A61-9D8B-253365628CBD},2008/11/24,2008/11/24,2000,,2013,1,uebertragen,GG25,2000,,,3603,1831,18,Vals,0,15274.000000000000000,,CH,CH18313603,TLM_GN_Leer,1019
{D9233D24-D3C8-4DD7-9A56-1A2B3171E43F},2011/02/23,2008/11/24,1997,,2013,1,real,swisstopo,2011,1,,1630,,8,Glarus Nord,0,15161.000000000000000,466.000000000000000,CH,CH08001630,TLM_GN_Leer,16988
{53967788-E702-4772-818C-111845E21017},2012/11/21,2008/11/24,2000,,2013,1,real,swisstopo,2012,3,,3672,1831,18,Safiental,0,15142.000000000000000,,CH,CH18313672,TLM_GN_Leer,928
{F51880C4-A6EB-4F16-9B3B-174483727D8A},2009/01/19,2008/11/24,2006,,2013,1,verbessert,swisstopo,2009,1,,5310,2108,21,Cevio,0,15142.000000000000000,,CH,CH21085310,TLM_GN_Leer,1174
{C1CEB8F6-FB96-41F2-A086-DA15D331F9EB},2012/09/27,2008/11/24,2000,,2013,1,real,swisstopo,2012,3,,3764,1825,18,Valsot,1,15896.000000000000000,,CH,CH18253764,TLM_GN_Leer,925
{BF2FE1D1-B5D2-4922-89AC-FD76D8B7C7E3},2012/11/22,2008/11/24,2000,,2013,1,real,swisstopo,2012,3,,6007,2301,23,Naters,0,14722.000000000000000,,CH,CH23016007,TLM_GN_Leer,9079
{3196D6B7-A2B0-4981-B52C-829A42875042},2009/01/19,2008/11/24,2000,,2013,1,verbessert,swisstopo,2009,1,,3521,1821,18,Bergün/Bravuogn,0,14565.000000000000000,,CH,CH18213521,TLM_GN_Leer,465
{4748AD02-C0EC-4822-9CFE-673771562041},2011/12/19,2008/11/24,1999,,2013,1,real,swisstopo,2012,1,,1216,,4,Silenen,0,14478.000000000000000,,CH,CH04001216,TLM_GN_Leer,2149
{D5A9677C-FE38-44F6-B0E8-3177F6252C81},2008/11/24,2008/11/24,2000,,2013,1,uebertragen,GG25,2000,,,3762,1825,18,Scuol,0,14412.000000000000000,,CH,CH18253762,TLM_GN_Leer,2353
{5258A173-209F-495F-8AC7-D8DC10B37C00},2011/12/19,2008/11/24,2003,,2013,1,real,swisstopo,2012,1,,3293,1725,17,Mels,0,13911.000000000000000,,CH,CH17253293,TLM_GN_Leer,8481
{B357D660-D86E-40B2-A8FF-B92D23BAC8E8},2009/01/19,2008/11/24,2000,,2013,1,verbessert,swisstopo,2009,1,,3788,1827,18,S-chanf,0,13804.000000000000000,,CH,CH18273788,TLM_GN_Leer,747
{B50F6BF6-A99E-4C4C-8920-2D068123EB5E},2009/01/19,2008/11/24,2000,,2013,1,verbessert,swisstopo,2009,1,,3983,1831,18,Medel (Lucmagn),0,13622.000000000000000,,CH,CH18313983,TLM_GN_Leer,424
{6002F0F0-AB2D-4E2A-B53A-B74596B8CE62},2010/01/05,2008/11/24,2000,,2013,1,real,swisstopo,2010,1,,565,249,2,Kandersteg,0,13447.000000000000000,,CH,CH02490565,TLM_GN_Leer,1220
{A2D00975-DED7-44C0-B6D6-A2E23ED415D7},2008/11/24,2008/11/24,2000,,2013,1,uebertragen,GG25,2000,,,3986,1831,18,Tujetsch,0,13391.000000000000000,,CH,CH18313986,TLM_GN_Leer,1693
{3796D067-7E85-4EEE-9375-5231CD6E3CB0},2010/01/05,2008/11/24,2000,,2013,1,real,swisstopo,2010,1,,762,249,2,Diemtigen,0,12994.000000000000000,,CH,CH02490762,TLM_GN_Leer,2138
{1009CEFA-4912-44D9-92A8-F85E92E79CA4},2009/01/20,2008/11/24,2003,,2013,1,verbessert,swisstopo,2009,1,,3294,1725,17,Pfäfers,0,12846.000000000000000,,CH,CH17253294,TLM_GN_Leer,1544
{7CF77912-3285-4EE5-80B1-1C4F80D2CB7A},2012/08/13,2008/11/24,2006,,2013,1,real,swisstopo,2012,3,,5072,2103,21,Faido,0,12627.000000000000000,,CH,CH21035072,TLM_GN_Leer,3243
{8912D705-BCF9-47EC-9B7C-5CAB82381267},2010/01/05,2008/11/24,2001,,2013,1,real,swisstopo,2010,1,,567,249,2,Reichenbach im Kandertal,0,12577.000000000000000,,CH,CH02490567,TLM_GN_Leer,3449
{C30D2852-F6D0-4FAB-8075-66BE0A40D43C},2009/02/18,2008/11/24,1997,,2013,1,real,swisstopo,2009,1,,6512,2406,24,Val-de-Travers,0,12473.000000000000000,,CH,CH24066512,TLM_GN_Leer,10857
{65423A41-A6AB-4EEE-B14B-3CEEE5FA1E26},2012/12/05,2008/11/24,1997,,2013,1,real,swisstopo,2012,3,,6487,2405,24,Val-de-Ruz,0,12432.000000000000000,,CH,CH24056487,TLM_GN_Leer,15564
{9EBB37ED-0318-47DF-B2B0-1A04DFEF831F},2011/12/19,2008/11/24,2000,,2013,1,real,swisstopo,2012,1,,792,248,2,Lenk,0,12305.000000000000000,,CH,CH02480792,TLM_GN_Leer,2450
{2DBA7C5C-B1A6-4B8E-A31A-68B9BE5DD957},2010/01/05,2008/11/24,2000,,2013,1,real,swisstopo,2010,1,,843,248,2,Saanen,0,12006.000000000000000,,CH,CH02480843,TLM_GN_Leer,6920
{F10E6A8E-A138-4A28-82CC-2CA0B437966A},2011/12/19,2008/11/24,2000,,2013,1,real,swisstopo,2012,1,,784,250,2,Innertkirchen,0,12001.000000000000000,,CH,CH02500784,TLM_GN_Leer,837
{5831C420-770A-4F1D-9F63-7E4DF29557E8},2008/11/24,2008/11/24,2000,,2013,1,uebertragen,GG25,2000,,,3784,1827,18,Pontresina,0,11820.000000000000000,,CH,CH18273784,TLM_GN_Leer,2008
{969989EE-AA9F-489C-A521-D9E668FEB22C},2011/12/19,2008/11/24,2001,,2013,1,real,swisstopo,2012,1,,781,250,2,Gadmen,0,11658.000000000000000,,CH,CH02500781,TLM_GN_Leer,228
{91124DC5-198D-4C9B-983A-DAF31C0E74BC},2011/12/19,2008/11/24,2006,,2013,1,real,swisstopo,2012,1,,5841,2230,22,Château-d'Oex,0,11373.000000000000000,,CH,CH22305841,TLM_GN_Leer,3253
{174CAEC7-56DE-44D3-9076-E51FAC915DD2},2011/03/23,2008/11/24,1900,,2013,1,real,swisstopo,2011,1,,9329,,20,Bodensee (TG),2,,,CH,CH20009329,TLM_GN_Leer,
{F0D4577B-EE5D-4664-8426-81B90281873C},2009/01/19,2008/11/24,2000,,2013,1,verbessert,swisstopo,2009,1,,3763,1825,18,Sent,0,11161.000000000000000,,CH,CH18253763,TLM_GN_Leer,896
{B374FB6D-7170-41BB-8E4A-E6F0D98559B5},2009/01/19,2008/11/24,2004,,2013,1,verbessert,swisstopo,2009,1,,5317,2108,21,Maggia,0,11109.000000000000000,,CH,CH21085317,TLM_GN_Leer,2464
{4332FB14-51B9-4818-B4E0-50E16CBAA7C7},2009/01/19,2008/11/24,2006,,2013,1,verbessert,swisstopo,2009,1,,6288,2313,23,Saas-Almagell,0,11040.000000000000000,,CH,CH23136288,TLM_GN_Leer,381
{DF66E93F-F3EE-4136-8A32-7FBFF752E3A9},2011/01/27,2008/11/24,2000,,2013,1,verbessert,swisstopo,2011,1,,1301,501,5,Einsiedeln,0,10974.000000000000000,1070.000000000000000,CH,CH05011301,TLM_GN_Leer,14438
{5D63E93B-E667-4996-9651-7DEB0D7D140F},2012/10/01,2008/11/24,2000,,2013,1,real,swisstopo,2012,3,,1004,316,3,Flühli,0,10817.000000000000000,,CH,CH03161004,TLM_GN_Leer,1898
{EA8F3AE8-78F8-4570-8311-BB73483D3EB2},2008/11/24,2008/11/24,1997,,2013,1,uebertragen,GG25,1997,,,6084,2305,23,Hérémence,0,10745.000000000000000,,CH,CH23056084,TLM_GN_Leer,1391
{077036E3-DAC1-4D22-8B62-48A1AD6CA3FE},2012/10/01,2008/11/24,1997,,2013,1,real,swisstopo,2012,3,,1010,316,3,Escholzmatt-Marbach,0,10640.000000000000000,,CH,CH03161010,TLM_GN_Leer,4355
{F94452C1-F62A-44AA-8E32-A869459CD6BF},2011/01/21,2008/11/24,2001,,2013,1,verbessert,swisstopo,2011,1,,1208,,4,Göschenen,0,10415.000000000000000,,CH,CH04001208,TLM_GN_Leer,418
{0DDAB6AD-D9BC-4C72-BE95-1AFB99A596D8},2011/02/23,2008/11/24,1997,,2013,1,verbessert,swisstopo,2011,1,,1632,,8,Glarus,0,10367.000000000000000,,CH,CH08001632,TLM_GN_Leer,12291
{BB3C91AE-2773-4FC3-975F-57158D7BAFF5},2008/11/24,2008/11/24,2000,,2013,1,uebertragen,GG25,2000,,,3985,1831,18,Sumvitg,0,10188.000000000000000,,CH,CH18313985,TLM_GN_Leer,1258
{B750F92D-1233-4BFC-A3C7-0F44F15025FA},2009/01/19,2008/11/24,2006,,2013,1,verbessert,swisstopo,2009,1,,5872,2224,22,Le Chenit,0,10023.000000000000000,98.000000000000000,CH,CH22245872,TLM_GN_Leer,4347
{7B11C30F-18CB-40A6-B295-669EB9BD25FD},2012/08/13,2008/11/24,1999,,2013,1,real,swisstopo,2012,3,,5050,2102,21,Serravalle,0,9692.000000000000000,,CH,CH21025050,TLM_GN_Leer,1994
{5794E99D-9476-4200-9289-E3D7520655EC},2011/01/21,2008/11/24,1997,,2013,1,verbessert,swisstopo,2011,1,,1220,,4,Wassen,0,9688.000000000000000,,CH,CH04001220,TLM_GN_Leer,455
{5633EB3D-8EF8-4A45-8F6B-254A98CD321E},2009/01/19,2008/11/24,2006,,2013,1,verbessert,swisstopo,2009,1,,5402,2221,22,Bex,0,9657.000000000000000,,CH,CH22215402,TLM_GN_Leer,6562
{1CE4E171-D665-44DB-8D38-FA6A9F12299E},2008/11/24,2008/11/24,1999,,2013,1,uebertragen,GG25,1999,,,5061,2103,21,Airolo,0,9431.000000000000000,,CH,CH21035061,TLM_GN_Leer,1559
