UUID,DATUM_AEND,DATUM_ERST,ERSTELL_J,ERSTELL_M,REVISION_J,REVISION_M,GRUND_AEND,HERKUNFT,HERKUNFT_J,HERKUNFT_M,OBJEKTART,KANTONSNUM,SEE_FLAECH,REVISION_Q,KT_FLAECH,KT_TEIL,NAME,ICC,EINWOHNERZ
{0B2364ED-49E0-4D53-A33C-C684DD530B57},2012/12/03,2012/10/26,2012,10,2013,1,verbessert,swisstopo,2012,3,Kanton,18,,TLM_GN_Leer,,,Graubünden,CH,193388
{DDD56CEF-0E61-4EED-85ED-F67A459C93ED},2012/12/03,2012/10/26,2012,10,2013,1,verbessert,swisstopo,2012,3,Kanton,2,11852.000000000000000,TLM_GN_Leer,,,Bern,CH,985046
{54B25E50-30A7-4995-ADE3-5FFF6E13A995},2012/12/03,2012/10/26,2012,10,2013,1,verbessert,swisstopo,2012,3,Kanton,23,1061.000000000000000,TLM_GN_Leer,,,Valais,CH,317022
{921DFEF2-6D91-4CB8-9CFC-2A831C412020},2012/12/03,2012/10/26,2012,10,2013,1,verbessert,swisstopo,2012,3,Kanton,22,38922.000000000000000,TLM_GN_Leer,,,Vaud,CH,725944
{95F10F52-8B2F-4D6A-AF7E-D4F915E42F89},2012/12/03,2012/10/26,2012,10,2013,1,verbessert,swisstopo,2012,3,Kanton,21,7069.000000000000000,TLM_GN_Leer,,,Ticino,CH,336943
{05D55405-466B-4ECC-83C7-A906DEB0D607},2012/12/03,2012/10/26,2012,10,2013,1,verbessert,swisstopo,2012,3,Kanton,17,7473.000000000000000,TLM_GN_Leer,,,St. Gallen,CH,483156
{FB7105B8-6D7C-4787-846E-17B2BC145C6E},2012/12/03,2012/10/26,2012,10,2013,1,verbessert,swisstopo,2012,3,Kanton,1,6803.000000000000000,TLM_GN_Leer,,,Zürich,CH,1392396
{B01E1FB4-9A9B-48AC-BCA3-7D6D93BA23F3},2012/12/03,2012/10/26,2012,10,2013,1,verbessert,swisstopo,2012,3,Kanton,10,7685.000000000000000,TLM_GN_Leer,,,Fribourg,CH,284668
{A7C284E4-45C4-44E2-ABAF-D1A0EAB10397},2012/12/03,2012/10/26,2012,10,2013,1,verbessert,swisstopo,2012,3,Kanton,3,6440.000000000000000,TLM_GN_Leer,,,Luzern,CH,381966
{E11CD2CA-2E2D-415C-8789-C10D7C26E441},2012/12/03,2012/10/26,2012,10,2013,1,verbessert,swisstopo,2012,3,Kanton,19,865.000000000000000,TLM_GN_Leer,,,Aargau,CH,618298
{E7A83048-1B67-44C8-9558-E52777CC4022},2012/12/03,2012/10/26,2012,10,2013,1,verbessert,swisstopo,2012,3,Kanton,4,1927.000000000000000,TLM_GN_Leer,,,Uri,CH,35382
{87370D3F-DBBE-4D05-AF85-C358C3924B3D},2012/12/03,2012/10/26,2012,10,2013,1,verbessert,swisstopo,2012,3,Kanton,20,12818.000000000000000,TLM_GN_Leer,,,Thurgau,CH,251973
{F06DD902-ABC6-4331-81F5-19B85D091E5E},2012/12/03,2012/10/26,2012,10,2013,1,verbessert,swisstopo,2012,3,Kanton,5,5644.000000000000000,TLM_GN_Leer,,,Schwyz,CH,147904
{1581348F-0FAF-44B1-A462-0550A3DE2B9E},2012/12/03,2012/10/26,2012,10,2013,1,verbessert,swisstopo,2012,3,Kanton,26,,TLM_GN_Leer,,,Jura,CH,70542
{A633EA6B-EA4F-4510-A2B2-477BE4A8E794},2012/12/03,2012/10/26,2012,10,2013,1,verbessert,swisstopo,2012,3,Kanton,24,8567.000000000000000,TLM_GN_Leer,,,Neuchâtel,CH,173183
