"kt_num","kt_name","kt_kurz"
1,"Zürich","ZU"
2,"Bern","BE"
3,"Luzern","LU"
4,"Uri","UR"
5,"Schwyz","SZ"
6,"Obwalden","OW"
7,"Nidwalden","NW"
8,"Glarus","GL"
9,"Zug","ZU"
10,"Fribourg","FR"
11,"Solothurn","SO"
12,"Basel-Stadt","BS"
13,"Basel-Landschaft","BL"
14,"Schaffhausen","SH"
15,"Appenzell Ausserrhoden","AR"
16,"Appenzell Innerrhoden","AI"
17,"St. Gallen","SG"
18,"Graubünden","GR"
19,"Aargau","AG"
20,"Thurgau","TG"
21,"Ticino","TI"
22,"Vaud","VD"
23,"Valais","VS"
24,"Neuchâtel","NE"
25,"Genève","GE"
26,"Jura","JU"
