"gem_bfs","los"
1201,1
1202,1
1203,1
1204,1
1205,1
1206,1
1207,1
1208,1
1209,1
1210,1
1211,1
1212,1
1213,1
1214,1
1215,1
1216,1
1217,1
1218,1
1219,1
1220,1
1301,1
1311,1
1321,1
1322,1
1323,1
1331,1
1341,1
1342,1
1343,1
1344,1
1345,1
1346,1
1347,1
1348,1
1349,1
1361,1
1362,1
1363,1
1364,1
1365,1
1366,1
1367,1
1368,1
1369,1
1370,1
1371,1
1372,1
1373,1
1374,1
1375,1
1630,1
1631,1
1632,1
2401,1
2402,1
2403,1
2404,1
2405,1
2406,1
2407,1
2408,1
2421,1
2422,1
2423,1
2424,1
2425,1
2426,1
2427,1
2428,1
2429,1
2441,1
2442,1
2444,1
2445,1
2446,1
2449,1
2450,1
2452,1
2453,1
2455,1
2456,1
2457,1
2458,1
2461,1
2462,1
2463,1
2464,1
2471,1
2472,1
2473,1
2474,1
2475,1
2476,1
2477,1
2478,1
2479,1
2480,1
2481,1
2491,1
2492,1
2493,1
2495,1
2497,1
2498,1
2499,1
2500,1
2501,1
2502,1
2503,1
2511,1
2511,1
2513,1
2514,1
2516,1
2517,1
2518,1
2519,1
2520,1
2523,1
2524,1
2525,1
2526,1
2527,1
2528,1
2529,1
2530,1
2532,1
2534,1
2535,1
2541,1
2542,1
2543,1
2544,1
2545,1
2546,1
2547,1
2548,1
2549,1
2550,1
2551,1
2553,1
2554,1
2555,1
2556,1
2571,1
2572,1
2573,1
2574,1
2575,1
2576,1
2578,1
2579,1
2580,1
2581,1
2582,1
2583,1
2584,1
2585,1
2586,1
2601,1
2611,1
2612,1
2613,1
2614,1
2615,1
2616,1
2617,1
2618,1
2619,1
2620,1
2621,1
2622,1
2701,1
2702,1
2703,1
2761,1
2762,1
2763,1
2764,1
2765,1
2766,1
2767,1
2768,1
2769,1
2770,1
2771,1
2772,1
2773,1
2774,1
2775,1
2781,1
2782,1
2783,1
2784,1
2785,1
2786,1
2787,1
2788,1
2789,1
2790,1
2791,1
2792,1
2793,1
2821,1
2822,1
2823,1
2824,1
2825,1
2826,1
2827,1
2827,1
2828,1
2829,1
2830,1
2831,1
2832,1
2833,1
2834,1
2841,1
2842,1
2843,1
2844,1
2845,1
2846,1
2847,1
2848,1
2849,1
2850,1
2851,1
2852,1
2853,1
2854,1
2855,1
2856,1
2857,1
2858,1
2859,1
2860,1
2861,1
2862,1
2863,1
2864,1
2865,1
2866,1
2867,1
2868,1
2869,1
2881,1
2882,1
2883,1
2884,1
2885,1
2886,1
2887,1
2888,1
2889,1
2890,1
2891,1
2892,1
2893,1
2894,1
2895,1
3501,1
3502,1
3503,1
3504,1
3505,1
3506,1
3511,1
3512,1
3513,1
3514,1
3515,1
3521,1
3522,1
3531,1
3532,1
3533,1
3534,1
3536,1
3536,1
3536,1
3538,1
3539,1
3540,1
3541,1
3551,1
3561,1
3571,1
3572,1
3574,1
3575,1
3576,1
3576,1
3577,1
3578,1
3579,1
3580,1
3581,1
3582,1
3583,1
3583,1
3584,1
3593,1
3598,1
3603,1
3611,1
3612,1
3613,1
3614,1
3615,1
3616,1
3617,1
3618,1
3618,2
3618,3
3618,4
3618,5
3618,6
3618,7
3618,8
3631,1
3631,2
3633,1
3634,1
3635,1
3636,1
3637,1
3638,1
3640,1
3661,1
3661,2
3661,3
3661,4
3661,5
3662,1
3662,1
3663,1
3668,1
3669,1
3670,1
3671,1
3672,1
3672,2
3672,3
3672,4
3681,1
3691,1
3693,1
3694,1
3695,1
3701,1
3703,1
3705,1
3707,1
3708,1
3711,1
3712,1
3713,1
3713,1
3721,1
3722,1
3723,1
3731,1
3732,1
3733,1
3734,1
3741,1
3742,1
3743,1
3744,1
3745,1
3746,1
3752,1
3761,1
3762,1
3763,1
3764,1
3764,2
3781,1
3781,1
3782,1
3783,1
3783,1
3784,1
3785,1
3786,1
3786,1
3787,1
3788,1
3789,1
3790,1
3791,1
3791,1
3792,1
3801,1
3803,1
3804,1
3805,1
3806,1
3808,1
3810,1
3811,1
3821,1
3822,1
3823,1
3831,1
3832,1
3833,1
3834,1
3835,1
3835,1
3836,1
3836,1
3847,1
3851,1
3861,1
3862,1
3863,1
3871,1
3881,1
3882,1
3883,1
3891,1
3893,1
3901,1
3911,1
3921,1
3921,2
3921,3
3921,4
3921,5
3921,6
3921,7
3921,8
3926,1
3932,1
3941,1
3945,1
3945,2
3946,1
3947,1
3951,1
3951,1
3952,1
3953,1
3953,1
3954,1
3955,1
3955,1
3961,1
3962,1
3972,1
3981,1
3982,1
3983,1
3985,1
3986,1
3987,1
3987,2
